Date,Issuer,Symbol, Managers,OfferPrice,OpeningPrice,DayClose,ChangeDay,ChangeOpening,ChangeClose,StarRatings
1/13/17,Gores Holdings II ,GSHTU,Deutsche Bank Securities,$10.00 ,$10.16 ,$10.25 ,2.50%,$0.16 ,$0.25 ,1
1/20/17,FinTech Acquisition Corp. II,FNTEU,Cantor Fitzgerald & Co.,$10.00 ,$10.10 ,$10.05 ,0.50%,$0.10 ,$0.05 ,1
1/20/17,Keane Group ,FRAC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,$19.00 ,$22.18 ,$21.65 ,13.95%,$3.18 ,$2.65 ,3
1/26/17,AnaptysBio ,ANAB,Credit Suisse/ Stifel,$15.00 ,$16.00 ,$17.00 ,13.33%,$1.00 ,$2.00 ,2
1/26/17,ObsEva SA  ,OBSV,Credit Suisse/ Jefferies/ Leerink Partners,$15.00 ,$13.29 ,$11.65 ,-22.33%,($1.71),($3.35),2
1/27/17,Jagged Peak Energy ,JAG,Citigroup/ Credit Suisse/ J.P. Morgan,$15.00 ,$14.18 ,$14.33 ,-4.47%,($0.82),($0.67),1
1/27/17,JELD-WEN Holding ,JELD,Barclays/ Citigroup/ Credit Suisse/ J.P. Morgan,$23.00 ,$25.32 ,$26.12 ,13.57%,$2.32 ,$3.12 ,3
1/27/17,Jounce Therapeutics ,JNCE,J.P. Morgan/ Cowen and Company,$16.00 ,$18.00 ,$17.25 ,7.81%,$2.00 ,$1.25 ,2
1/27/17,REV Group ,REVG,Goldman Sachs/ Morgan Stanley/ Baird,$22.00 ,$25.75 ,$25.00 ,13.64%,$3.75 ,$3.00 ,2
2002/1/17,Invitation Homes ,INVH,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs/ Wells Fargo Securities/ Credit Suisse/ Morgan Stanley/ RBC Capital Market,$20.00 ,$20.15 ,$20.00 ,0.00%,$0.15 ,$0.00 ,2
2002/1/17,Laureate Education ,LAUR,Credit Suisse/ Morgan Stanley/ Barclays/ Macquarie Capital/ J.P. Morgan/ BMO Capital Markets/ Citigroup/ KKR/ Goldman Sachs,$14.00 ,$12.50 ,$13.25 ,-5.36%,($1.50),($0.75),1
2002/3/17,"Kimbell Royalty Partners, LP ",KRP,Raymond James/ RBC Capital Markets/ Stifel,$18.00 ,$18.11 ,$20.64 ,14.67%,$0.11 ,$2.64 ,1
2002/3/17,Ramaco Resources ,METC,Credit Suisse/ Jefferies/ BMO Capital Markets,$13.50 ,$14.55 ,$13.55 ,0.37%,$1.05 ,$0.05 ,2
2002/10/17,Clipper Realty ,CLPR,FBR/ Raymond James,$13.50 ,$15.00 ,$13.50 ,0.00%,$1.50 ,$0.00 ,1
2002/10/17,Foundation Building Materials ,FBM,Deutsche Bank Securities/ Barclays/ RBC Capital Markets/ Citigroup/ Baird,$14.00 ,$15.80 ,$15.50 ,10.71%,$1.80 ,$1.50 ,1
2002/10/17,Sachem Capital ,SACH,Joseph Gunnar,$5.00 ,$4.90 ,$5.04 ,0.80%,($0.10),$0.04 ,1
2003/1/17,Hamilton Lane ,HLNE,J.P. Morgan/ Morgan Stanle,$16.00 ,$17.85 ,$18.02 ,12.63%,$1.85 ,$2.02 ,2
2003/2/17,Snap ,SNAP,Morgan Stanley/ Goldma Sachs/ J. P. Morgan/ Deutsche Bank Securities,$17.00 ,$23.71 ,$24.48 ,44.00%,$6.71 ,$7.48 ,3
2003/8/17,J.JILL ,JILL,BofA Merrill Lynch/Morgan Stanley/ Jefferies,$13.00 ,$12.85 ,$12.65 ,-2.69%,($0.15),($0.35),1
2003/8/17,BeyondSpring ,BYSI,Rodman & Renshaw (a Unit of H.C. Wainwright & Co.),$20.00 ,$20.00 ,$16.80 ,-16.00%,$0.00 ,($3.20),N/C
2003/10/17,Presidio ,PSDO,J.P. Morgan/ Citigroup,$14.00 ,$13.50 ,$14.25 ,1.79%,($0.50),$0.25 ,2
2003/10/17,Matlin & Partners Acquisition ,MPACU,Cantor Fitzgerald & Co.,$10.00 ,$10.00 ,$10.01 ,0.10%,$0.00 ,$0.01 ,1
3/15/17,Ardagh Group S.A.  ,ARD,"Citigroup/ Deutsche Bank Securities/ Goldman, Sachs/ Barclays/ Credit Suisse/ J.P. Morgan",$19.00 ,$21.96 ,$22.91 ,20.58%,$2.96 ,$3.91 ,1
3/16/17,Canada Goose Holdings ,GOOS,"CIBC Capital Markets/ Credit Suisse/ Goldman, Sachs/ RBC Capital Markets",$12.78 ,$18.00 ,$16.08 ,25.82%,$5.22 ,$3.30 ,3
3/17/17,MuleSoft ,MULE,"Goldman, Sachs/ J.P. Morgan/ BoA Merrill Lynch",$17.00 ,$24.25 ,$24.75 ,45.59%,$7.25 ,$7.75 ,3
