,date,open,close,high,low,volume,code,time
0,2018-08-03,5.2,5.19,5.2,5.18,1866.0,600642,14:55
1,2018-08-03,5.19,5.17,5.19,5.17,1418.0,600642,15:00
2,2018-08-06,5.18,5.18,5.19,5.17,1936.0,600642,09:35
3,2018-08-06,5.19,5.19,5.2,5.17,3586.0,600642,09:40
4,2018-08-06,5.19,5.19,5.2,5.18,1664.0,600642,09:45
5,2018-08-06,5.18,5.19,5.2,5.18,1717.0,600642,09:50
6,2018-08-06,5.19,5.2,5.22,5.18,1863.0,600642,09:55
7,2018-08-06,5.2,5.21,5.22,5.2,1132.0,600642,10:00
8,2018-08-06,5.21,5.2,5.22,5.19,1564.0,600642,10:05
9,2018-08-06,5.2,5.21,5.22,5.19,2152.0,600642,10:10
10,2018-08-06,5.21,5.18,5.21,5.18,1626.0,600642,10:15
11,2018-08-06,5.18,5.18,5.2,5.17,1266.0,600642,10:20
12,2018-08-06,5.18,5.18,5.19,5.17,846.0,600642,10:25
13,2018-08-06,5.18,5.19,5.2,5.17,1805.0,600642,10:30
14,2018-08-06,5.19,5.18,5.19,5.18,1051.0,600642,10:35
15,2018-08-06,5.18,5.17,5.19,5.17,1566.0,600642,10:40
16,2018-08-06,5.17,5.18,5.18,5.17,2654.0,600642,10:45
17,2018-08-06,5.17,5.17,5.18,5.16,1716.0,600642,10:50
18,2018-08-06,5.16,5.17,5.17,5.16,1268.0,600642,10:55
19,2018-08-06,5.17,5.15,5.17,5.15,1805.0,600642,11:00
20,2018-08-06,5.15,5.15,5.16,5.14,1924.0,600642,11:05
21,2018-08-06,5.15,5.17,5.17,5.14,2496.0,600642,11:10
22,2018-08-06,5.17,5.18,5.18,5.15,1322.0,600642,11:15
23,2018-08-06,5.18,5.16,5.19,5.15,1826.0,600642,11:20
24,2018-08-06,5.16,5.16,5.19,5.16,1291.0,600642,11:25
25,2018-08-06,5.16,5.15,5.18,5.15,638.0,600642,11:30
26,2018-08-06,5.15,5.16,5.18,5.15,2536.0,600642,13:05
27,2018-08-06,5.16,5.15,5.16,5.15,1404.0,600642,13:10
28,2018-08-06,5.15,5.15,5.16,5.14,3817.0,600642,13:15
29,2018-08-06,5.15,5.15,5.16,5.14,1365.0,600642,13:20
30,2018-08-06,5.15,5.14,5.16,5.14,1148.0,600642,13:25
31,2018-08-06,5.14,5.14,5.16,5.13,2290.0,600642,13:30
32,2018-08-06,5.14,5.14,5.16,5.14,1592.0,600642,13:35
33,2018-08-06,5.14,5.13,5.15,5.13,1287.0,600642,13:40
34,2018-08-06,5.13,5.13,5.14,5.13,1346.0,600642,13:45
35,2018-08-06,5.13,5.12,5.14,5.12,1441.0,600642,13:50
36,2018-08-06,5.12,5.14,5.14,5.12,2011.0,600642,13:55
